Model Year,Make,Model Name,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption: City (L/100 km),Fuel Consumption: Hwy (L/100 km),Fuel Consuption: Comb (L/100 km),Fuel Consuption: Comb (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2020,Acura,MDX Hybrid AWD,SUV: Small,3,6,AM7,Z,9.1,9,9,31,210,5,3
2020,Acura,RLX Hybrid,Mid-size,3.5,6,AM7,Z,8.4,8.2,8.4,34,196,6,7
2020,Alfa Romeo,4C Spider,Two-seater,1.8,4,AM6,Z,9.7,6.9,8.4,34,197,6,1
2020,Alfa Romeo,Giulia,Mid-size,2,4,A8,Z,10,7.2,8.7,32,205,6,3
2020,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2020,Audi,Q7,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296,3,5
2020,Audi,Q8,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296,3,5
2020,Audi,A6 quattro,Mid-size,2,4,AM7,Z,9.8,7.4,8.7,32,205,6,5
2020,Audi,S7,Mid-size,2.9,6,AS8,Z,12.9,8.5,10.9,26,255,4,5
2020,Audi,S8,Full-size,4,8,AS8,Z,17.6,10.7,14.5,19,339,2,3
2020,Audi,S4,Compact,3,6,AS8,Z,11.8,8.9,10.5,27,245,5,5
2020,Audi,RS 3,Subcompact,2.5,5,AM7,Z,12.1,8.4,10.4,27,243,5,3
2020,Audi,Q5,SUV: Small,2,4,AM7,Z,10.7,8.4,9.7,29,226,5,5
2020,Bentley,Continental GT Convertible,Subcompact,6,12,AM8,Z,19.2,12.2,16,18,373,2,3
2020,Bentley,Continental GT Convertible,Subcompact,4,8,AM8,Z,15.1,9.1,12.4,23,291,3,3
2020,BMW,M8 Cabriolet Competition,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,BMW,M240i Coupe M Performance,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,M4 Cabriolet Competition,Subcompact,3,6,M6,Z,13.8,9.4,11.9,24,280,4,3
2020,BMW,M8 Cabriolet,Subcompact,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,BMW,230i Coupe,Subcompact,2,4,AS8,Z,9.5,7.4,8.5,33,200,6,7
2020,BMW,540i xDrive Sedan,Mid-size,3,6,AS8,Z,10.7,8.1,9.5,30,222,5,5
2020,BMW,X4 M Competition,SUV: Small,3,6,AS8,Z,16.6,12.1,14.6,19,339,2,3
2020,BMW,750Li xDrive Sedan,Full-size,4.4,8,AS8,Z,14.5,9.9,12.4,23,290,3,3
2020,BMW,M240i Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,440i xDrive Cabriolet,Subcompact,3,6,AS8,Z,12.4,8.5,10.7,26,249,4,3
2020,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2020,BMW,230i xDrive Cabriolet,Subcompact,2,4,AS8,Z,10.9,7.5,9.4,30,219,5,7
2020,BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,Z,15.5,11.4,13.6,21,318,3,3
2020,BMW,430i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.9,7.5,9.4,30,219,5,7
2020,BMW,M550i xDrive Sedan,Mid-size,4.4,8,AS8,Z,13.6,9.3,11.7,24,273,4,3
2020,BMW,X5 M50i,SUV: Standard,4.4,8,AS8,Z,14.5,10.7,12.8,22,302,3,3
2020,BMW,X5 xDrive40i,SUV: Standard,3,6,AS8,Z,11.7,9.1,10.5,27,245,5,3
2020,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233,5,3
2020,Buick,Regal AWD,Mid-size,2,4,AS8,Z,11,8,9.6,29,227,5,5
2020,Buick,Enclave AWD,SUV: Standard,3.6,6,A9,X,13.6,9.6,11.8,24,277,4,6
2020,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2020,Cadillac,CT5,Mid-size,2,4,AS10,Z,10.4,7.3,9,31,209,5,6
2020,Cadillac,XT5,SUV: Small,2,4,AS9,Z,11,8.3,9.8,29,227,5,6
2020,Cadillac,CT6 AWD,Full-size,3.6,6,AS10,X,12.9,8.7,11,26,259,4,5
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,X,16.6,13,15,19,350,2,3
2020,Chevrolet,Silverado 4WD Custom Trail Boss,Pickup truck: Standard,4.3,6,A6,X,16.3,12.9,14.8,19,349,2,6
2020,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,11.3,8.9,10.2,28,238,5,5
2020,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,X,16,11.2,13.8,20,325,3,3
2020,Chevrolet,Trax AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2020,Chevrolet,Impala,Full-size,3.6,6,AS6,E,17.2,11.6,14.7,19,246,4,5
2020,Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4,A8,X,12.7,11,12,24,280,4,6
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.7,12,14.1,20,331,3,6
2020,Chevrolet,Suburban FFV,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2020,Chevrolet,Colorado,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,273,4,5
2020,Chevrolet,Camaro,Subcompact,2,4,AS8,Z,10.9,7.6,9.4,30,219,5,5
2020,Chevrolet,Suburban 4WD FFV,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.4,20,337,2,3
2020,Chevrolet,Silverado 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,22.3,18.1,20.5,14,342,2,3
2020,Chevrolet,Tahoe 4WD,SUV: Standard,6.2,8,A10,Z,16.5,10.9,13.9,20,327,3,3
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,20,326,3,5
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,6.2,8,A10,Z,15.7,12.4,14.2,20,332,3,3
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,23,286,3,5
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,2.7,4,A8,X,12.5,10.8,11.7,24,275,4,6
2020,Chrysler,300 AWD,Full-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2020,Dodge,Charger,Full-size,3.6,6,A5,X,13.7,9,11.6,24,271,4,3
2020,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,M6,Z,18.1,11.4,15.1,19,352,2,1
2020,Dodge,Durango AWD SRT,SUV: Standard,6.4,8,A8,Z,18.3,12.2,15.6,18,363,2,1
2020,Dodge,Challenger (MDS),Mid-size,5.7,8,A8,X,14.7,9.4,12.3,23,289,3,3
2020,Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2020,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,20,325,3,1
2020,FIAT,124 Spider,Two-seater,1.4,4,A6,X,9.3,6.5,8,35,187,6,3
2020,Ford,Mustang Convertible,Subcompact,2.3,4,M6,X,11.8,8.4,10.3,27,240,5,5
2020,Ford,Escape Hybrid,SUV: Small,2.5,4,AV,X,5.4,6.3,5.8,49,136,9,7
2020,Ford,GT,Two-seater,3.5,6,AM7,Z,19.8,12.8,16.6,17,393,1,3
2020,Ford,Explorer AWD,SUV: Standard,3,6,AS10,X,13.3,9.8,11.8,24,278,4,5
2020,Ford,Shelby GT350 Mustang,Subcompact,5.2,8,M6,Z,17.1,11.4,14.5,19,342,2,3
2020,Ford,F-150,Pickup truck: Standard,3.5,6,AS10,X,14.3,10.7,12.7,22,298,3,5
2020,Ford,F-150 FFV (LT Tire Pkg),Pickup truck: Standard,5,8,AS10,E,20,14.9,17.7,16,294,3,3
2020,Ford,Mustang Convertible,Subcompact,5,8,AS10,X,15.4,9.7,12.9,22,303,3,3
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS6,E,17.6,13.8,15.9,18,265,4,5
2020,Ford,Edge AWD,SUV: Small,2,4,AS8,X,11.4,8.3,10,28,233,5,5
2020,Ford,Escape Hybrid AWD,SUV: Small,2.5,4,AV,X,5.5,6.4,5.9,48,139,9,7
2020,Ford,Escape,SUV: Small,1.5,3,AS8,X,8.6,7.1,7.9,36,185,7,7
2020,Ford,Explorer AWD,SUV: Standard,2.3,4,AS10,X,11.6,8.7,10.3,27,241,5,5
2020,Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,12.5,9.2,11,26,258,4,5
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,5,8,AS10,X,15.1,11.6,13.5,21,317,3,3
2020,Ford,EcoSport AWD,SUV: Small,2,4,AS6,X,10.2,8.1,9.2,31,216,5,5
2020,Ford,F-150 FFV 4X4,Pickup truck: Standard,3.3,6,AS6,X,12.9,10.2,11.7,24,274,4,5
2020,Genesis,G70 AWD,Compact,3.3,6,AS8,Z,14.1,9.5,12,24,284,3,3
2020,Genesis,G90 AWD,Full-size,5,8,AS8,Z,15.4,10.2,13.1,22,311,3,5
2020,GMC,Yukon XL 4WD,SUV: Standard,6.2,8,A10,Z,17.2,11.4,14.6,19,343,2,3
2020,GMC,Canyon,Pickup truck: Small,3.6,6,A8,X,13.4,9.6,11.7,24,273,4,5
2020,GMC,Yukon XL 4WD FFV,SUV: Standard,5.3,8,A6,X,16.8,11.3,14.4,20,337,2,3
2020,GMC,Acadia,SUV: Standard,3.6,6,A9,X,12.6,8.8,10.9,26,257,4,6
